Gym,Latitude,Longitude
Monumento a Joao Da Silva Silveira,-31.765994,-52.345289
Monumento a Joao Da Silva Silveira,-31.765994,-52.345289
Graffiti,-31.773938,-52.341724
Graffiti,-31.773938,-52.341724
Graffiti,-31.773938,-52.341724
Graffiti,-31.773938,-52.341724
Graffiti,-31.773938,-52.341724
Graffiti,-31.773938,-52.341724
Graffiti,-31.773938,-52.341724
Arte de Rua Paisagem Submarina,-31.768549,-52.338229
Arte de Rua Paisagem Submarina,-31.768549,-52.338229
Arte de Rua Paisagem Submarina,-31.768549,-52.338229
Arte de Rua Paisagem Submarina,-31.768549,-52.338229
Arte de Rua Paisagem Submarina,-31.768549,-52.338229
Arte de Rua Paisagem Submarina,-31.768549,-52.338229
Bibliotheca Pública Pelotense,-31.77,-52.342085
Bibliotheca Pública Pelotense,-31.77,-52.342085
Bibliotheca Pública Pelotense,-31.77,-52.342085
Bibliotheca Pública Pelotense,-31.77,-52.342085
Catedral Sao Francisco De Paula,-31.763889,-52.338142
Catedral Sao Francisco De Paula,-31.763889,-52.338142
Catedral Sao Francisco De Paula,-31.763889,-52.338142
Catedral Sao Francisco De Paula,-31.763889,-52.338142
Igreja O Brasil Para Cristo,-31.722343,-52.351434
Gruta À Nossa Mãe Iemanja,-31.780457,-52.317964
Torre Do Relógio Ifsul Pelotas,-31.766284,-52.351779
Torre Do Relógio Ifsul Pelotas,-31.766284,-52.351779
Torre Do Relógio Ifsul Pelotas,-31.766284,-52.351779
Torre Do Relógio Ifsul Pelotas,-31.766284,-52.351779
Igreja Do Senhor,-31.720644,-52.35311
Igreja Do Senhor,-31.720644,-52.35311
